session_id,unit_id,unit_name,user_id,user_email,chatbot_id,chatbot_name,started_at,last_active,is_active,research_consent,role,content,created_at
"99eb09ea-a21d-469f-8020-1c632a58563a","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","25b12e93-25a3-4a37-acf6-9ac26c5d9031","user123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:29:11.113+00:00","2025-09-17T08:40:11.97+00:00","true","false","user","de kiemlag worden zo gevouwen dat ze samenkomen en een ronding vormen","2025-09-17T08:37:53.604943+00:00"
"99eb09ea-a21d-469f-8020-1c632a58563a","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","25b12e93-25a3-4a37-acf6-9ac26c5d9031","user123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:29:11.113+00:00","2025-09-17T08:40:11.97+00:00","true","false","assistant","Precies, dat is de kern! Door de embryonale vouwing worden de kiemlagen zó gevouwen dat ze samenkomen rond het embryo en een ronde, buisvormige structuur vormen. Daardoor ontstaat de eerste echte lichaamsvorm van het embryo met een afgebakende lichaamswand.

Om dit wat specifieker te maken: deze vouwing verloopt in twee richtingen: craniaal-caudale vouwing (voor-achter) en laterale vouwing (zijkanten naar elkaar toe). Hierdoor sluiten de zijden en de onderkant van het embryo zich tot een buis, en wordt het dooierzakgedeelte opgenomen als toekomstige darm.

Volgende vraag:  
Wat is het verschil tussen *axiaal*, *paraxiaal*, *intermediair* en *lateraal plaat* mesoderm? Kun je kort uitleggen waar deze onderdelen zich bevinden of wat hun belangrijkste producten/structuren zijn?","2025-09-17T08:38:09.937136+00:00"
"99eb09ea-a21d-469f-8020-1c632a58563a","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","25b12e93-25a3-4a37-acf6-9ac26c5d9031","user123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:29:11.113+00:00","2025-09-17T08:40:11.97+00:00","true","false","user","axiaal = in het transversale vlak, paraxiaal is in hetzelfde vlak, maar meer naar achteren, intermediair is in het mitten en de laterale plaat is de plaat aan de zijkant","2025-09-17T08:39:30.47161+00:00"
"99eb09ea-a21d-469f-8020-1c632a58563a","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","25b12e93-25a3-4a37-acf6-9ac26c5d9031","user123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:29:11.113+00:00","2025-09-17T08:40:11.97+00:00","true","false","assistant","Je hebt een begin gemaakt met het lokaliseren van deze mesodermgebieden, maar laten we het wat verduidelijken! De termen gaan niet alleen over ligging, ze verwijzen ook naar specifieke gebieden langs de middellijn van het embryo en ontwikkelen elk unieke structuren.

Welke structuur hoort bij het axiale mesoderm, en welke bekende structuren ontstaan uit het paraxiale mesoderm? Heb je daar voorbeelden of kun je dat verder specificeren?","2025-09-17T08:39:38.418658+00:00"
"99eb09ea-a21d-469f-8020-1c632a58563a","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","25b12e93-25a3-4a37-acf6-9ac26c5d9031","user123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:29:11.113+00:00","2025-09-17T08:40:11.97+00:00","true","false","user","ik weet het niet","2025-09-17T08:39:55.44288+00:00"
"99eb09ea-a21d-469f-8020-1c632a58563a","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","25b12e93-25a3-4a37-acf6-9ac26c5d9031","user123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:29:11.113+00:00","2025-09-17T08:40:11.97+00:00","true","false","assistant","Geen probleem! Laten we samen even nadenken. 

Het axiale mesoderm ligt precies in de middellijn van het embryo. De belangrijkste structuur die hieruit ontstaat, is de notochord (chorda dorsalis).  

Het paraxiale mesoderm ligt direct naast het axiale mesoderm aan beide kanten. Weet je misschien welke blokvormige structuren ontstaan uit het paraxiale mesoderm (vooral zichtbaar in dwarsdoorsneden van jonge embryo’s)? Ze zijn heel belangrijk voor de ontwikkeling van het skelet en spieren... 

Kun je het proberen? Wat weet je over deze blokjes?","2025-09-17T08:40:05.630244+00:00"
"99eb09ea-a21d-469f-8020-1c632a58563a","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","25b12e93-25a3-4a37-acf6-9ac26c5d9031","user123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:29:11.113+00:00","2025-09-17T08:40:11.97+00:00","true","false","user","end conservation","2025-09-17T08:40:28.13517+00:00"
"99eb09ea-a21d-469f-8020-1c632a58563a","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","25b12e93-25a3-4a37-acf6-9ac26c5d9031","user123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:29:11.113+00:00","2025-09-17T08:40:11.97+00:00","true","false","assistant","Prima, we stoppen hier. Bedankt voor het meedoen aan deze sessie! Als je later wilt doorgaan of vragen hebt, ben ik er om te helpen. Veel succes verder met je studie embryologie!","2025-09-17T08:40:33.915517+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","user","laten we beginnen","2025-09-17T08:31:38.760106+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","assistant","Hier is de situatieschets die we zullen gebruiken:

Een gezonde 25-jarige vrouw had routinematige zwangerschapscontroles. Bij de 24 weken echo zagen ze een kleine opening (~5 mm) rechts naast de navel van de baby. Latere controles toonden dat deze opening opliep tot 34 mm, met darmlissen buiten de buik in het vruchtwater. Na de geboorte (keizersnede, 37 weken) had de jongen delen van maag, dunne en dikke darm buiten de buikholte. Deze diagnose heet gastroschisis.

Laten we beginnen met het opfrissen van enkele belangrijke termen.

Wat is gastrulatie?","2025-09-17T08:31:48.463739+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","user","bij gastrulatie onstaat er uit een een delige laag en 3 delige laag","2025-09-17T08:33:07.564659+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","assistant","Goed! Je beschrijft dat gastrulatie het proces is waarbij er uit een aanvankelijke enkellaagse embryonale schijf een drielagige structuur ontstaat.

Kun je de namen geven van deze drie kiemlagen die na gastrulatie gevormd worden?","2025-09-17T08:33:15.199091+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","user","mesoderm, ectoderm en endoderm","2025-09-17T08:33:34.279616+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","assistant","Helemaal juist! De drie kiemlagen zijn: endoderm, mesoderm en ectoderm.

Nu een volgende basisvraag:  
Wat wordt bedoeld met embryonale plooing (embryonic folding)?","2025-09-17T08:33:39.707786+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","user","hierbij gaan de lagen zo vouwen dat er al de eerste structuur van het latere onstaande baby ontstaat","2025-09-17T08:34:53.55277+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","assistant","Dat klopt, je geeft aan dat de embryonale lagen gaan vouwen om de eerste vormen van het toekomstige lichaam te maken. Je zit op het goede spoor.

Kun je specifieker uitleggen wat er gebeurt tijdens het proces van embryonale plooing? Denk aan de richtingen waarin het embryo vouwt en wat dit betekent voor de positie van de kiemlagen.","2025-09-17T08:35:01.636703+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","user","dat weet ik eigenlijk niet helemaal goed","2025-09-17T08:36:12.207301+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","assistant","Geen probleem! Denk eraan dat embryonale plooing plaatsvindt rond week 4 van de ontwikkeling.

Stel je voor: het embryo is aanvankelijk een platte schijf. Tijdens de plooing buigt deze schijf zowel in de lengte als in de breedte. Welke richtingen zijn dat precies? Kun je het proberen te benoemen—denk aan termen zoals craniaal, caudaal, lateraal—en wat er met het embryo gebeurt als het in die richtingen vouwt?","2025-09-17T08:36:20.884921+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","user","de embryo ontwikkelt de eerste structuren en het vouwt zich lateraal toch?","2025-09-17T08:37:54.472796+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","assistant","Ja, je zit goed! De embryo vouwt zich inderdaad lateraal, zodat de zijkanten naar elkaar toe buigen. Maar er gebeurt nog iets: er zijn ook plooien in de andere richting.

Heb je een idee in welke tweede richting de embryo zich nog meer plooit? Je noemde net al ‘lateraal’. Welke woorden horen bij de andere as—iets met het hoofd- en staarteinde?","2025-09-17T08:38:02.16025+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","user","vouwt het zich ook caudaal?","2025-09-17T08:40:06.815618+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","assistant","Heel goed, dat klopt! Het embryo vouwt zich ook in de craniaal-caudale richting, dus bij het hoofd- (craniaal) en staarteinde (caudaal). Daardoor krijgt het embryo een meer buisvormige structuur en worden structuren zoals de dooierzak en de amnionholte ingesloten.

Zullen we nog één basisvraag doen:  
Kun je de vier onderdelen of ‘subtypen’ van het mesoderm benoemen, die belangrijk zijn voor de ontwikkeling van het lichaam?","2025-09-17T08:40:15.388499+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","user","end","2025-09-17T08:41:00.663347+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","assistant","Prima, we ronden af. Als je in de toekomst verder wilt oefenen, laat het gerust weten!","2025-09-17T08:41:05.899173+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","user","isg, mag ik ook feedback","2025-09-17T08:41:23.4621+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","assistant","Zeker! Hier is feedback op hoe je het tot nu toe hebt gedaan:

1. **Basiskennis kiemlagen**  
Je wist direct de drie kiemlagen te benoemen (endoderm, mesoderm, ectoderm). Dat vormt de basis van alle vroege embryonale ontwikkeling, dus dat is sterk.

2. **Gastrulatie en plooing**  
Je begrijpt het concept dat het embryo van een eenlagige naar een drielagige structuur gaat, en dat plooing de basisvormen van het embryo creëert.  
Je miste nog wat detail bij het plooien in beide richtingen (lateraal én craniaal/caudaal), maar je was goed op weg en stelde zelf bij!

3. **Vragen durven stellen**  
Het is heel goed dat je aangeeft wanneer je iets niet zeker weet en blijft doorvragen. Zo leer je het meest.

4. **Verbeterpunt**  
Je kunt in de toekomst nog oefenen met het onderverdelen van het mesoderm (axiaal, paraxiaal, intermediair, laterale plaat) en hun rol bij de vorming van organen en lichaamsstructuren.

Wil je specifiek oefenen met die termen? Of wil je afsluiten?","2025-09-17T08:41:40.246635+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","user","ja zou je anders een keer heel duidelijk het vouwen in bepaalde richtingen willen uitleggen","2025-09-17T08:42:22.278509+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","assistant","Natuurlijk! Hier een **duidelijke uitleg van het embryonale vouwen (embryonale plooing)**:

**Situatie vóór het vouwen:**  
Het embryo is aan het begin van week 4 een platte, ovale schijf met drie kiemlagen (ectoderm, mesoderm, endoderm).

**Tijdens het vouwen gebeurt er twee dingen tegelijk:**

1. **Cranio-caudale plooing (hoofd-tot-staart)**
   - Het hoofd (craniaal) en de staart (caudaal) van het embryo buigen naar de “buik” van het embryo toe.
   - Hierdoor komt het hart naar de uiteindelijke plek in de borststreek.
   - De dooierzak wordt ingenomen om het spijsverteringskanaal te vormen.

2. **Laterale plooing (van de zijkanten)**
   - De linker- en rechterzijkanten van het embryo buigen naar elkaar toe.
   - Hierdoor komt het ectoderm aan de buitenkant, en worden het mesoderm en endoderm naar binnen geduwd.
   - De “buikwand” wordt gesloten aan de voorkant.  
   - De darmen (voorgekomen uit de endodermlaag) komen in het lichaam te liggen (tenzij het misgaat, zoals bij gastroschisis).

**Gevolg:**  
Door deze twee plooibewegingen krijgt het embryo een driedimensionale vorm: hoofd, staart, rug, en buikzijde ontstaan net als een cilinder, de basis voor de vorm van de baby.

Wil je nog oefenen met een vraag hierover, of is dit duidelijk zo?","2025-09-17T08:42:46.660061+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","user","isg doe maar een oefenvraag","2025-09-17T08:47:01.22008+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","assistant","Goed! Hier komt een oefenvraag:

Stel: tijdens de embryonale ontwikkeling mislukt de ventrale sluiting (sluiting van de buikwand) aan de rechterzijde door een fout in de laterale plooing. 

Welke kiemlagen zijn vooral betrokken bij de vorming van de buikwand, en wat kan er gebeuren als deze processen niet goed verlopen?","2025-09-17T08:47:13.361239+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","user","lagen zijn, mesoderm en ectoderm. als dit niet geod loopt kan de baby worden geboren met een open buik","2025-09-17T08:51:03.343319+00:00"
"5a305f7d-2f2e-460a-99f6-42f0584334b5","6771138e-c203-44a2-bbbd-2c78d9250372","Geneeskunde B1","f4b94c47-726f-435a-80ce-d8d9f7aeb3ca","geneeskunde123@eduscenar.io","f841dace-3587-49d7-82cb-c5c1befed0ed","Chatbot Embryologie","2025-09-17T08:30:14.276+00:00","2025-09-18T21:31:03.36+00:00","true","false","assistant","Heel goed! Je benoemt dat het **mesoderm** en **ectoderm** betrokken zijn bij de vorming van de buikwand, en dat een fout in het proces kan leiden tot een open buik bij de baby—zoals bij gastroschisis.

Je koppelt dus de kiemlagen aan het klinische beeld, zoals gevraagd!

Wil je nu verder gaan met een vraag over de onderverdeling van het mesoderm (axiaal, paraxiaal, intermediair, laterale plaat)? Of wil je een andere verdieping?","2025-09-17T08:51:15.967504+00:00"
